Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-039745,2018-08,01/01/2018 16:00,Y, , ,1, , 65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0, , ,3516,ILLINOIS,0,0
18-037186,2018-08,01/07/2018 08:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4014,UNION BLVD,70, ,@NORTH PATROL DIVISION,4014,UNION,890074.4,1037079
18-040825,2018-08,01/10/2018 10:00,Y, , ,1, ,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,4453,NEBRASKA AVE,17, , ,4453,NEBRASKA,895502.1,998249.7
18-038219,2018-08,01/31/2018 01:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3114,FRANKLIN AVE,59, , ,3114,FRANKLIN,899509.6,1021943
18-040361,2018-08,02/01/2016 08:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,7557,HALL ST,74,PICK N PULL, ,7557,HALL,898564.8,1045187
16-006584,2018-08,02/09/2016 23:15, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3979,RANDALL,5, , ,3979,RANDALL,0,0
18-033739,2018-08,02/23/2017 09:00,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,4335,MARYLAND AVE,38, , ,4355,MARYLAND,891584.3,1022814
18-038746,2018-08,02/23/2018 09:30,Y, , ,1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8426,N BROADWAY,74, , ,8426,BROADWAY,897443.7,1049650
18-041626,2018-08,02/23/2018 19:30,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4557,DR MARTIN LUTHER KING DR,56, ,RESIDENCE/ HOME,4557,DR MARTIN LUTHER KING,891679.1,1028851
18-040809,2018-08,02/27/2018 21:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",2223,SUBLETTE AVE,12, , ,2223,SUBLETTE,882793.2,1012710
18-038178,2018-08,03/05/2018 00:01,Y, , ,1, ,171200,6,SEX OFFNS-STATUATORY RAPE/FIRST,4600,LEXINGTON AVE,56, , ,1900,OLIVE,0,0
18-038569,2018-08,03/10/2015 15:30,Y, , ,1, , 43026,6,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4633,POPE AVE,69, , ,5426,UNION,898127.1,1036586
18-038569,2018-08,03/10/2015 15:30,Y, , ,1, , 91124,6,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",4633,POPE AVE,69, , ,5426,UNION,898127.1,1036586
18-040914,2018-08,03/17/2017 12:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3509,ILLINOIS AVE,18, , ,3509,ILLINOIS,899432.7,1004075
18-036926,2018-08,04/03/2018 08:00,Y, , ,1, , 73413,4,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48,430,S 15TH ST,36,GREYHOUND BUS STATION, ,430,15TH,904845.8,1016613
18-038493,2018-08,04/12/2017 13:00,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,6036,LUCILLE AVE,76, , ,6000,LUCILLE,889929.8,1045618
18-016499,2018-08,04/13/2018 12:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1401,CLARK,36, ,: @SCOTTRADE CENTER,1401,CLARK,0,0
18-035562,2018-08,04/13/2018 15:09,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,3606,MONTANA ST,16, , ,3606,MONTANA,893193.1,1001425
18-038002,2018-08,04/15/2018 12:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1449,N 14TH ST,61, ,NUISANCE ABATEMENT PROPERTY,1449,14TH,906936.6,1022417
18-035745,2018-08,04/16/2018 12:24,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4905,MINNESOTA AVE,17, , ,4905,MINNESOTA,894370.7,995910.2
18-037773,2018-08,04/17/2018 17:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1205,N 7TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1205,7TH,909067,1020843
18-038001,2018-08,04/18/2018 06:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4038,N GRAND BLVD,67, ,NUISANCE ABATEMENT PROPERTY,4038,GRAND,901867.4,1030898
18-040132,2018-08,04/19/2018 17:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5269,VERNON AVE,51, , ,5269,VERNON,885298.2,1028951
18-038298,2018-08,04/20/2016 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1600,MCLARAN AVE,73, , ,1600,MCLARAN,893272.5,1049843
18-020945,2018-08,04/20/2016 12:00, , , ,1, , 43026,2,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,4437,OAKLAND,39, , ,4437,OAKLAND,0,0
18-020945,2018-08,04/20/2016 12:00, , , ,-1, ,204100,2,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4437,OAKLAND,39, , ,4437,OAKLAND,0,0
18-037783,2018-08,04/21/2018 20:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1706,N 20TH ST,60, ,NUISANCE ABATEMENT PROPERTY,1706,20TH,904639.2,1024058
18-037795,2018-08,04/21/2018 23:28,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1108,N 9TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1108,9TH,908449,1020410
18-037791,2018-08,04/22/2018 00:55,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1706,N 20TH ST,60, ,NUISANCE ABATEMENT PROPERTY,1706,20TH,904639.2,1024058
18-037765,2018-08,04/22/2018 23:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1205,N 7TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1205,7TH,909067,1020843
18-037745,2018-08,04/23/2018 00:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,N GRAND BLVD,67, ,NUISANCE ABATEMENT PROPERTY,3710,GRAND,901258.3,1029801
18-037762,2018-08,04/23/2018 10:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3616,NATURAL BRIDGE AVE,59,ALDI S,NUISANCE ABATEMENT PROPERTY,3616,NATURAL BRIDGE,900804.4,1029637
18-037266,2018-08,04/23/2018 20:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1400,N GRAND BLVD,59, ,NUISANCE ABATEMENT PROPERTY,1400,GRAND,898337.4,1024456
18-018305,2018-08,04/25/2018 09:30,Y, , ,1, , 95200,4,AGGRAVATED STALKING (THREAT OF DEATH OR SERIOU,706,N TUCKER BLVD,35,BOOST MOBILE,CELLULAR PHONE STORE,706,TUCKER,907140.5,1019238
18-040131,2018-08,04/26/2018 04:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4535,MCMILLAN AVE,54, , ,4535,MCMILLAN,890940.5,1026838
18-039555,2018-08,04/29/2018 00:01,Y, , ,1, ,103000,5,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,6195,WASHINGTON BLVD,46,NEW COTE BRILLIANTE CHURCH OF GOD, ,6195,WASHINGTON,877363.1,1027219
18-038316,2018-08,04/30/2018 07:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,1208,KRAFT ST,44, , ,1208,KRAFT,877252.9,1017859
18-040135,2018-08,05/04/2018 20:18,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5734,GOODFELLOW PL,50, , ,5734,GOODFELLOW,885187.4,1037424
18-020364,2018-08,05/07/2018 10:30,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1820,MARKET ST,36,UNION STATION,HOTEL,1820,MARKET,903731.7,1018016
18-020669,2018-08,05/09/2018 01:30, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4863,KOSSUTH,69, , ,4853,KOSSUTH,0,0
