Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007
"295101011001","15000US295101011001","Block Group 1, Census Tract 1011, St. Louis city, Missouri","Block Group 1, Census Tract 1011, St. Louis city, Missouri","mo","150","00","ACSSF","0009874",,,,,"29","510",,,,"101100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223,660,0,660,643,17,563
"295101011002","15000US295101011002","Block Group 2, Census Tract 1011, St. Louis city, Missouri","Block Group 2, Census Tract 1011, St. Louis city, Missouri","mo","150","00","ACSSF","0009875",,,,,"29","510",,,,"101100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,642,0,642,612,30,265
"295101012001","15000US295101012001","Block Group 1, Census Tract 1012, St. Louis city, Missouri","Block Group 1, Census Tract 1012, St. Louis city, Missouri","mo","150","00","ACSSF","0009876",,,,,"29","510",,,,"101200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,842,0,842,751,91,339
"295101012002","15000US295101012002","Block Group 2, Census Tract 1012, St. Louis city, Missouri","Block Group 2, Census Tract 1012, St. Louis city, Missouri","mo","150","00","ACSSF","0009877",,,,,"29","510",,,,"101200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,535,0,535,475,60,325
"295101012003","15000US295101012003","Block Group 3, Census Tract 1012, St. Louis city, Missouri","Block Group 3, Census Tract 1012, St. Louis city, Missouri","mo","150","00","ACSSF","0009878",,,,,"29","510",,,,"101200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,599,0,599,581,18,137
"295101013001","15000US295101013001","Block Group 1, Census Tract 1013, St. Louis city, Missouri","Block Group 1, Census Tract 1013, St. Louis city, Missouri","mo","150","00","ACSSF","0009879",,,,,"29","510",,,,"101300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,480,0,480,402,78,241
"295101013002","15000US295101013002","Block Group 2, Census Tract 1013, St. Louis city, Missouri","Block Group 2, Census Tract 1013, St. Louis city, Missouri","mo","150","00","ACSSF","0009880",,,,,"29","510",,,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,611,0,611,540,71,326
"295101013003","15000US295101013003","Block Group 3, Census Tract 1013, St. Louis city, Missouri","Block Group 3, Census Tract 1013, St. Louis city, Missouri","mo","150","00","ACSSF","0009881",,,,,"29","510",,,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,826,0,826,759,67,322
"295101013004","15000US295101013004","Block Group 4, Census Tract 1013, St. Louis city, Missouri","Block Group 4, Census Tract 1013, St. Louis city, Missouri","mo","150","00","ACSSF","0009882",,,,,"29","510",,,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,480,0,480,480,0,126
"295101014001","15000US295101014001","Block Group 1, Census Tract 1014, St. Louis city, Missouri","Block Group 1, Census Tract 1014, St. Louis city, Missouri","mo","150","00","ACSSF","0009883",,,,,"29","510",,,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,278,0,278,265,13,134
"295101014002","15000US295101014002","Block Group 2, Census Tract 1014, St. Louis city, Missouri","Block Group 2, Census Tract 1014, St. Louis city, Missouri","mo","150","00","ACSSF","0009884",,,,,"29","510",,,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,314,0,314,238,76,400
"295101014003","15000US295101014003","Block Group 3, Census Tract 1014, St. Louis city, Missouri","Block Group 3, Census Tract 1014, St. Louis city, Missouri","mo","150","00","ACSSF","0009885",,,,,"29","510",,,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,795,6,789,722,67,356
"295101015001","15000US295101015001","Block Group 1, Census Tract 1015, St. Louis city, Missouri","Block Group 1, Census Tract 1015, St. Louis city, Missouri","mo","150","00","ACSSF","0009886",,,,,"29","510",,,,"101500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,388,0,388,335,53,277
"295101015002","15000US295101015002","Block Group 2, Census Tract 1015, St. Louis city, Missouri","Block Group 2, Census Tract 1015, St. Louis city, Missouri","mo","150","00","ACSSF","0009887",,,,,"29","510",,,,"101500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,450,0,450,418,32,148
"295101015003","15000US295101015003","Block Group 3, Census Tract 1015, St. Louis city, Missouri","Block Group 3, Census Tract 1015, St. Louis city, Missouri","mo","150","00","ACSSF","0009888",,,,,"29","510",,,,"101500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905,563,0,563,534,29,342
"295101015004","15000US295101015004","Block Group 4, Census Tract 1015, St. Louis city, Missouri","Block Group 4, Census Tract 1015, St. Louis city, Missouri","mo","150","00","ACSSF","0009889",,,,,"29","510",,,,"101500","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,441,0,441,346,95,167
"295101018001","15000US295101018001","Block Group 1, Census Tract 1018, St. Louis city, Missouri","Block Group 1, Census Tract 1018, St. Louis city, Missouri","mo","150","00","ACSSF","0009890",,,,,"29","510",,,,"101800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,357,0,357,325,32,206
"295101018002","15000US295101018002","Block Group 2, Census Tract 1018, St. Louis city, Missouri","Block Group 2, Census Tract 1018, St. Louis city, Missouri","mo","150","00","ACSSF","0009891",,,,,"29","510",,,,"101800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,96,20,76,76,0,128
"295101018003","15000US295101018003","Block Group 3, Census Tract 1018, St. Louis city, Missouri","Block Group 3, Census Tract 1018, St. Louis city, Missouri","mo","150","00","ACSSF","0009892",,,,,"29","510",,,,"101800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,533,0,533,426,107,231
"295101018004","15000US295101018004","Block Group 4, Census Tract 1018, St. Louis city, Missouri","Block Group 4, Census Tract 1018, St. Louis city, Missouri","mo","150","00","ACSSF","0009893",,,,,"29","510",,,,"101800","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,604,0,604,431,173,194
"295101021001","15000US295101021001","Block Group 1, Census Tract 1021, St. Louis city, Missouri","Block Group 1, Census Tract 1021, St. Louis city, Missouri","mo","150","00","ACSSF","0009894",,,,,"29","510",,,,"102100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,508,0,508,466,42,200
"295101021002","15000US295101021002","Block Group 2, Census Tract 1021, St. Louis city, Missouri","Block Group 2, Census Tract 1021, St. Louis city, Missouri","mo","150","00","ACSSF","0009895",,,,,"29","510",,,,"102100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,643,0,643,635,8,225
"295101021003","15000US295101021003","Block Group 3, Census Tract 1021, St. Louis city, Missouri","Block Group 3, Census Tract 1021, St. Louis city, Missouri","mo","150","00","ACSSF","0009896",,,,,"29","510",,,,"102100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,600,0,600,556,44,210
"295101022001","15000US295101022001","Block Group 1, Census Tract 1022, St. Louis city, Missouri","Block Group 1, Census Tract 1022, St. Louis city, Missouri","mo","150","00","ACSSF","0009897",,,,,"29","510",,,,"102200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,388,0,388,373,15,207
