Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-042811,2018-09,01/01/2016 11:01,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,2841,JANUARY AVE,13, , ,2841,JANUARY,881822.6,1010313
18-041945,2018-09,01/01/2017 12:37,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5325,CLAXTON AVE,71, , ,5325,CLAXTON,893062.3,1041384
18-044360,2018-09,01/01/2018 12:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3816,MCREE AVE,29, , ,3816,MCREE,893655.4,1014024
18-041929,2018-09,01/10/2018 09:05,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,3862,MERAMEC ST,16, , ,3862,MERAMEC,891565,1001469
18-009453,2018-09,02/28/2018 08:00, , , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4333,NEBRASKA,17, , ,400,KINGSHIGHWAY,0,0
18-041303,2018-09,02/28/2018 11:46,Y, , ,1, ,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,4756,COTE BRILLIANTE AVE,55, , ,4756,COTE BRILLIANTE,890241.4,1029938
18-041492,2018-09,03/01/2018 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4500,FOREST PARK AVE,38, ,@PARKVIEW APTS,4500,FOREST PARK,0,0
18-042847,2018-09,03/03/2018 08:00,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,I 70 WESTBOUND / SAINT LOUIS A,63, , , , ,907721.7,1026586
18-045239,2018-09,03/06/1974 00:01,Y, , ,1, , 21000,0,RAPE -- FORCIBLE,0,WESTMINSTER,0, , ,1900,OLIVE,0,0
18-046406,2018-09,03/10/2010 00:01,Y, , ,1, ,263899,5,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,400,S KINGSHIGHWAY BLVD,38,BARNES JEWISH HOSPITAL, ,4949, ,887074.8,1020998
18-043072,2018-09,03/15/2018 17:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6726,HANCOCK AVE,9, , ,6726,HANCOCK,875776.3,1007705
18-043004,2018-09,03/17/2018 17:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2301,GRAVOIS AVE,23, , ,2301,GRAVOIS,899702.9,1009555
18-013253,2018-09,03/25/2018 09:00, , , ,-1, , 43011,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,1015,GOODFELLOW,48, , ,1015,GOODFELLOW,0,0
18-017547,2018-09,04/20/2018 11:50, , , ,-1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1110,SALISBURY,65, , ,1120,HOWARD,0,0
18-041918,2018-09,04/23/2018 07:28,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,7133,WINONA AVE,9, , ,7133,WINONA,872476.2,1005641
18-044190,2018-09,04/28/2018 11:00,Y, , ,1, , 52322,2,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,4175,CHIPPEWA ST,15,EZ STORAGE, ,4175,CHIPPEWA,889186.2,1003827
18-046480,2018-09,04/30/2018 01:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5871,PAGE BLVD,78,RESIDENCE, ,5871,PAGE,881606.6,1032279
18-044580,2018-09,05/01/2018 00:01,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,1019,N SKINKER PKWY,48, ,@LOOP LOFTS,1915,OLIVE,878976.1,1030954
18-044006,2018-09,05/01/2018 08:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3124,ALLEN AVE,26, , ,3124,ALLEN,896897.2,1012181
18-043366,2018-09,05/01/2018 08:38,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4998,MARDEL AVE,14, , ,4998,MARDEL,884194.1,1004845
18-043564,2018-09,05/06/2018 13:00,Y, , ,1, , 69702,5,LARCENY-ALL OTHER UNDER $500,4922,ST LOUIS AVE,55, , ,4922,ST LOUIS,890548.6,1033056
18-043443,2018-09,05/07/2018 10:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,1048,HAMPTON AVE,41, , ,1915,OLIVE,881131.1,1018397
18-039771,2018-09,05/13/2018 00:01, , , ,1, ,204100,0,FAMILY & CHILD CRIME-ENDANGR WELF CHILD, , ,0, , ,1800,KEOKUK,0,0
